original_smiles,canonical_smiles,MW,LogP,HBD,HBA,violations,is_drug_like
CN(CCC(N)CC(=O)NC1COC(C(=O)O)C=C1n1ccc(N)nc1=O)C(=N)N,CN(CCC(N)CC(=O)NC1COC(C(=O)O)C=C1n1ccc(N)nc1=O)C(=N)N,422.45,-2.43,6,9,1,True
CN(CCC(N)CC(=O)NC1COCC(C(=O)O)=C1n1cc(N)cnc1=O)C(=N)N,CN(CCC(N)CC(=O)NC1COCC(C(=O)O)=C1n1cc(N)cnc1=O)C(=N)N,422.45,-2.43,6,9,1,True
CN(CCC(N)CC(=O)NC1COCC(C(=O)O)=C1n1ccc(N)nc1=O)C(=N)N,CN(CCC(N)CC(=O)NC1COCC(C(=O)O)=C1n1ccc(N)nc1=O)C(=N)N,422.45,-2.43,6,9,1,True
COC1=CC(C)=CC(C)C(O)CCC(C(C)C(O)C(C)C2(O)CC(C(C)C)C(O)C(C)O2)=CC=C(C)C(O)C(C)OC1=O,COC1=CC(C)=CC(C)C(O)CCC(C(C)C(O)C(C)C2(O)CC(C(C)C)C(O)C(C)O2)=CC=C(C)C(O)C(C)OC1=O,608.81,4.18,5,9,1,True
CSCC1OCN(N=Cc2cc([N+](=O)[O-])co2)C1=O,CSCC1OCN(N=Cc2cc([N+](=O)[O-])co2)C1=O,285.28,1.07,0,7,0,True
Clc1ccc(C(Cn2ccnc2)OCc2cccc(Sc3ccccc3)c2)cc1Cl,Clc1ccc(C(Cn2ccnc2)OCc2cccc(Sc3ccccc3)c2)cc1Cl,455.41,7.3,0,4,1,True
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)c(Cl)c2)cc1Cl,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)c(Cl)c2)cc1Cl,416.14,6.45,0,3,1,True
Clc1ccc(OCCCN2CCOCC2)cc1-c1ccccc1,Clc1ccc(OCCCN2CCOCC2)cc1-c1ccccc1,331.84,4.11,0,3,0,True
NC(C(=O)O)C1ON=CC1Cl,NC(C(=O)O)C1ON=CC1Cl,178.58,-0.61,2,4,0,True
Nc1cc(F)nc(=O)[nH]1,Nc1cc(F)nc(=O)[nH]1,129.09,-0.51,2,3,0,True
O=C(CCl)c1cc([N+](=O)[O-])co1,O=C(CCl)c1cc([N+](=O)[O-])co1,189.55,1.61,0,4,0,True
O=C(CCl)c1ccccc1O,O=C(CCl)c1ccccc1O,170.59,1.81,1,2,0,True
O=C(CCl)c1occc1[N+](=O)[O-],O=C(CCl)c1occc1[N+](=O)[O-],189.55,1.61,0,4,0,True
O=C(COC1=C(C(F)(F)F)C=NC(C(F)(F)F)C1)NNc1ccc(F)cc1F,O=C(COC1=C(C(F)(F)F)C=NC(C(F)(F)F)C1)NNc1ccc(F)cc1F,417.26,3.65,2,4,0,True
O=C(Nc1nc(Cc2cccc3ccccc23)cs1)C1CCCCC1,O=C(Nc1nc(Cc2cccc3ccccc23)cs1)C1CCCCC1,350.49,5.41,1,3,1,True
O=[N+]([O-])c1ccc(-c2c[nH]c(Cl)c2)cc1Cl,O=[N+]([O-])c1ccc(-c2c[nH]c(Cl)c2)cc1Cl,257.08,3.9,1,2,0,True
OC(Cn1cnnn1)(c1c(F)cccc1F)C(F)(F)c1cc(-c2ccccc2OC(F)(F)F)ccn1,OC(Cn1cnnn1)(c1c(F)cccc1F)C(F)(F)c1cc(-c2ccccc2OC(F)(F)F)ccn1,513.37,4.59,1,7,1,True
OC(Cn1cnnn1)(c1cccc(F)c1F)C(F)(F)c1ncccc1-c1ccc(OC(F)(F)F)cc1,OC(Cn1cnnn1)(c1cccc(F)c1F)C(F)(F)c1ncccc1-c1ccc(OC(F)(F)F)cc1,513.37,4.59,1,7,1,True
OCC(O)COc1cccc(Cl)c1,OCC(O)COc1cccc(Cl)c1,202.64,1.07,2,3,0,True
OCC(O)COc1ccccc1Cl,OCC(O)COc1ccccc1Cl,202.64,1.07,2,3,0,True
